"","restaurant_No","restaurant","city","state","latitude","longitude","name","restaurant_id"
"29",29,"71gXwJhn1Mdcdk-W9f98ag","Phoenix","AZ",33.4954633,-112.0472354,"Ingallina's Box Lunch","R29"
"30",30,"7fPMKpEOH-uNnUd0OoSwdg","Phoenix","AZ",33.6263076134,-112.066246162,"Gyrosology","R30"
"31",31,"7rdenapLKDEKdb9e5rlbDA","Phoenix","AZ",33.4804804,-112.1529177,"La Pupusa Loca","R31"
"32",32,"8RnOU6PLyOk3qHV1kZ4hcg","Phoenix","AZ",33.3057767,-111.9798844,"Zaytoon Kabob Bistro","R32"
"33",33,"8xsos7GhHO7C5YjRxOYGsA","Phoenix","AZ",33.5071806,-112.0318259,"Dagwoods","R33"
"34",34,"8ZhTEANRxKQ3KAW1wY9r6Q","Phoenix","AZ",33.407507,-112.0138782,"McDonald's","R34"
"35",35,"91GxxEnwkkdmpGXnvCXZzg","Phoenix","AZ",33.3049038,-111.9829809,"Applebee's Neighborhood Grill & Bar","R35"
"36",36,"9HG09ZNqzrEUz-ipSTRkKA","Phoenix","AZ",33.5097522,-112.1089076,"Filiberto's Mexican Food","R36"
"37",37,"9u7knPXVCUOwnsz8sTTT_w","Phoenix","AZ",33.5715256905,-112.083253682,"Las 15 Salsas","R37"
"38",38,"9yH1SL2paauMMuxHnV6cBA","Phoenix","AZ",33.6408509,-112.0293449,"Pizza Hut","R38"
"39",39,"A9aksp-YGK8FsCN9bXFLrg","Phoenix","AZ",33.4070722002,-111.98108701,"Papa John's","R39"
"40",40,"Ap17p-tA4Ipzy1s35DfCfg","Phoenix","AZ",33.5092093,-111.9885861,"Buck & Rider","R40"
"41",41,"AueEbb9kao4lt6CYt06hqw","Phoenix","AZ",33.522359,-112.0645588,"Okra Cookhouse & Cocktails","R41"
"42",42,"Auky7_gMsUdB91V0EAgbhA","Phoenix","AZ",33.4872924,-112.0308358,"Mejico Cocina Mejicana","R42"
"43",43,"aX2yKumIlyMLbDvA4dVbHA","Phoenix","AZ",33.4737734,-112.04749,"Tacos Mexico","R43"
"44",44,"B1jlDEUrVyPgR4vOMnaiKQ","Phoenix","AZ",33.4360502,-111.994973,"12th Fairway Bar & Grill","R44"
"45",45,"b1m_PK-ggGR3CmBjdIyqkQ","Phoenix","AZ",33.5232267,-112.0232519,"Wrights at The Arizona Biltmore","R45"
"46",46,"b5epWgPoVcXoMJdCCzFMUw","Phoenix","AZ",33.508736,-112.041489,"Cafe Zupas","R46"
"47",47,"BaVtTt9pBoI8rrN35tsj_g","Phoenix","AZ",33.580273,-112.118875,"Olive Garden Italian Restaurant","R47"
"48",48,"BB7Zk7p76N029MoOkO4FZQ","Phoenix","AZ",33.5095738,-112.0922595,"Peter Wong Chinese Restaurant","R48"
"49",49,"bc-ODWDxA-CViK8Sho8-Og","Phoenix","AZ",33.6232445,-112.1336723,"Del Taco","R49"
"50",50,"bFFqpUl8Ix7CYPem9CxpFg","Phoenix","AZ",33.6568431658,-111.932276056,"Sakura Sushi & Steakhouse","R50"
"51",51,"BgthHqiXot2s4Sd_xcI6DQ","Phoenix","AZ",33.4957331182,-111.988441937,"Pita Jungle","R51"
"52",52,"biPAbciX6zfsfmTDozFrIA","Phoenix","AZ",33.465461,-112.017768,"Al Aruba","R52"
"53",53,"bj6Km1RvgD6oyppCe5yDog","Phoenix","AZ",33.4949655,-112.0310218,"New Hong Kong","R53"
"54",54,"BU67sB_pedm_QsNhISvYIQ","Phoenix","AZ",33.5513424,-112.1169946,"Super Pizza Bros.","R54"
"55",55,"CeuTRtwsq6w5rztGOyNMPg","Phoenix","AZ",33.4796712,-112.2251729,"Salsitas","R55"
"56",56,"CI6gEOiOQ5ps0oMUhgmKRg","Phoenix","AZ",33.4886989,-112.07707,"The Liberty Kitchen","R56"
"57",57,"cILk7PnJBxNsMmGhQU2cyA","Phoenix","AZ",33.5194664,-112.0653473,"Lola's","R57"
"58",58,"cIRZU99i82ReJxCqhgXc5g","Phoenix","AZ",33.5982609415,-112.15089139,"Nana Tee's Hometown Dogs","R58"
"59",59,"cLL_FCIItPh1DH-h78cb4w","Phoenix","AZ",33.508282,-112.048136,"Mediterranean Buffet","R59"
"60",60,"COV5JzBJD3vEW-Qd86pb_w","Phoenix","AZ",33.4763219135,-112.223151773,"Gus's New York Pizza","R60"
"61",61,"CrwL7Y-jdzno4mmV7CN67A","Phoenix","AZ",33.4655479,-112.0722079,"Guacamoles Fresh Mexican Grill","R61"
"62",62,"CS3zMyq39AuGnOQO9RYLGw","Phoenix","AZ",33.466104,-112.081655,"My Florist Cafe","R62"
"63",63,"cTkya76AXsXylIyl5bFn4w","Phoenix","AZ",33.4720551,-112.2370041,"Star Wok","R63"
"64",64,"CUivTcULsu5MJIYYNVm1zw","Phoenix","AZ",33.5173704626,-112.082824331,"Hana Japanese Eatery","R64"
"65",65,"cwJtI1JyX06CU_mxqCU2rw","Phoenix","AZ",33.6833362,-112.1062985,"Jack In the Box","R65"
"66",66,"DlYiFJgFIVwaaySuNn5eYw","Phoenix","AZ",33.4949698,-112.1501803,"El Kora","R66"
"67",67,"du9_QFb75sxzKnLLQwSkMw","Phoenix","AZ",33.6398926,-112.0676247,"Five Guys","R67"
"68",68,"E7KK8pYREY0qoKcAEO2XCA","Phoenix","AZ",33.6700727,-112.0298486,"Jack in the Box","R68"
"69",69,"e9QjTA0wa0s6UvLPTnu4cw","Phoenix","AZ",33.639152,-112.063087,"Papa John's Pizza","R69"
"70",70,"ee5Y3CUhsgCwQIEgXOOixg","Phoenix","AZ",33.6401634,-112.0271725,"Palms Restaurant and Market","R70"
"71",71,"es3Fq9KNp6Ry994x4T4ZYg","Phoenix","AZ",33.454073,-112.082889,"AZTECA Bakeries & Restaurant","R71"
"72",72,"etGW0g4oIABVeC4Sk5YBDQ","Phoenix","AZ",33.5063147,-112.2731391,"Taco Bell","R72"
"73",73,"euxQLuOeFIfsZWj6PmHp7g","Phoenix","AZ",33.3986064,-112.0725275,"Pizza Hut","R73"
"74",74,"EwldVuxL-KJaIxxi2FApNw","Phoenix","AZ",33.6842049,-112.1072844,"Arby's","R74"
"75",75,"f0n_FsBi7gmKH_a95vaDHA","Phoenix","AZ",33.4813170446,-112.072644202,"City Bistro","R75"
"76",76,"f1KTr8efZfDUZcxG32kKIw","Phoenix","AZ",33.566474,-112.0639252,"Polish Goodies","R76"
"77",77,"fK5pISvzFanBY_W9D3C3rg","Phoenix","AZ",33.4953492,-112.1670868,"McDonald's","R77"
"78",78,"FmZMn8-sjyTpOX7orjnt-g","Phoenix","AZ",33.464435,-112.030898,"La Tradicion Restaurant","R78"
"79",79,"frCxZS7lPhEnQRJ3UY6m7A","Phoenix","AZ",33.469201,-112.047393,"La Santisima","R79"
"80",80,"fyFmamI9xY0_OOgH6tO3pg","Phoenix","AZ",33.6567037375,-112.099063732,"Alfonso's Mexican Food","R80"
"81",81,"fzxvmA3Ygu3yrQQ6-cEpTw","Phoenix","AZ",33.519819,-112.0646248,"Mora Italian","R81"
"82",82,"gLIXqQDeNjW4CR7x58orrw","Phoenix","AZ",33.6404107,-112.0604833,"Cafe Rio","R82"
"83",83,"gSPqD1DR3lzgoaifIhdF_w","Phoenix","AZ",33.4474724189,-112.073668381,"Squid Ink","R83"
"84",84,"GVkTLK1rnASfW7ia7YgdKw","Phoenix","AZ",33.4573173,-112.0647999,"Cheba Hut - Phoenix","R84"
"85",85,"GX4C0SDgzuywFbO2W_g1ow","Phoenix","AZ",33.6835271,-111.9659111,"MERITAGE - an urban tavern","R85"
"86",86,"HBZd08iiOuIdZHyt4mRSSQ","Phoenix","AZ",33.4899159,-112.0996154,"Town Talk II","R86"
"87",87,"Hgo9WB-uyx_iD3Vjk2lZnA","Phoenix","AZ",33.4659236,-111.9722278,"Copper Kettle Curry House","R87"
"88",88,"hHx3Z8O9_R_ymK4mbvK7AQ","Phoenix","AZ",33.4791690258,-111.984146793,"Fry's Food Store","R88"
"89",89,"HpQGK9qazX51JhlWlH76cw","Phoenix","AZ",33.4580382,-112.0914374,"Sazon Bachata Restaurant","R89"
"90",90,"HQVzGJRnXnKnbC-7tfx-xg","Phoenix","AZ",33.5103953,-112.0286923,"Short Leash Hot Dogs","R90"
"91",91,"hr_lJ5EtUy2U-I9cNQegyg","Phoenix","AZ",33.5111821857,-111.986068358,"Taylor's Place","R91"
"92",92,"hXPUQ_LixjhuUiD33mN6Vg","Phoenix","AZ",33.434664609,-111.994210482,"Jose Roux","R92"
"93",93,"IiwgHkUbBt9Ha25H4dUtkw","Phoenix","AZ",33.4599088,-112.04608,"Los Altos Ranch Market","R93"
"94",94,"iPXKHoEdpXG7Ysqg7UZ3ZQ","Phoenix","AZ",33.3055118,-111.9797915,"The Dugout Sports Grill","R94"
"95",95,"IQ3wDfQYvE7B5Dsq7NArjQ","Phoenix","AZ",33.47987,-111.989954,"Fuzzy's Taco Shop","R95"
"96",96,"iYzjrO27y9ew0HgNwYZiUQ","Phoenix","AZ",33.4804297,-111.9974992,"CiCi's Pizza","R96"
"97",97,"japzjLMfmqsGszf2CG1org","Phoenix","AZ",33.466287,-112.205971,"Sainz Mexican Restaurant","R97"
"98",98,"JDwUNHYA_-FvxEMRvHniig","Phoenix","AZ",33.4382789,-112.0178286,"Taberna del Tequila","R98"
"99",99,"JRo3APL5f4-TEkuI-SoDcA","Phoenix","AZ",33.330921838,-111.983517949,"Zipps Sports Grill","R99"
"100",100,"jspgVJaiyobeUq6EMhmO-w","Phoenix","AZ",33.4800312,-112.0283414,"Upper Crust Pizza Midtown","R100"
"101",101,"KBN8wcnBr9KRB4TPa0unsQ","Phoenix","AZ",33.495018,-111.975898,"Black Forest Haus","R101"
"102",102,"Kl5VdpWLChwsUhJO0ArXYw","Phoenix","AZ",33.4663090029,-112.205986306,"Mi Nuevo Nayarit","R102"
"103",103,"kQbo5EmBXphXfLFddMqsug","Phoenix","AZ",33.4724737,-112.0722009,"The Courtyard Cafe","R103"
"104",104,"KuDmCggBq6zwxc8CSJxLdQ","Phoenix","AZ",33.4374586,-112.0593771,"Samurai Sam's","R104"
"105",105,"kUnHgSjIWOeCzacpSFhyjw","Phoenix","AZ",33.3791179,-112.0653467,"Subway","R105"
"106",106,"L7rjzj2g2EEbHfee9V-X2Q","Phoenix","AZ",33.6666993,-112.1236355,"Samurai Sam's","R106"
"107",107,"lCd20nDS9rFHW_2KViqWUA","Phoenix","AZ",33.4770298133,-112.064846618,"El Chullo Peruvian Restaurant & Bar","R107"
"108",108,"lf7PP9U5l_x1bbUqa7DIzA","Phoenix","AZ",33.82895,-112.1217,"Chop Chop Chinese Kitchen","R108"
"109",109,"LoCnjxSpQBoFLNWAmbmTqw","Phoenix","AZ",33.5235948,-112.0979469,"Carl's Jr","R109"
"110",110,"LtNgP4FqXp5nMFOHErK8cw","Phoenix","AZ",33.640832,-112.151282,"Yen Sushi & Sake Bar","R110"
"111",111,"lwpQQflP1CGJPV7QLybzOg","Phoenix","AZ",33.6710684743,-112.030189633,"Upper Crust Pizza Patio & Wine Bar","R111"
"112",112,"M4zq737gzO5GqIk91X0CYw","Phoenix","AZ",33.4949805,-111.9898781,"Joeys of Chicago","R112"
"113",113,"m5sGdODCWYVu-bjvqG_OOA","Phoenix","AZ",33.5551465,-112.1005889,"Pizza Hut","R113"
"114",114,"mFzIzDJfcZHBpdajg_Em5Q","Phoenix","AZ",33.5096327,-112.0252067,"The Bamboo Club","R114"
"115",115,"MpvvsMZOjMME6aMDCnMjQw","Phoenix","AZ",33.4450359,-112.0706266,"Jackson's On 3rd","R115"
"116",116,"MQsccAhTxdd2Y5JBKjrT9w","Phoenix","AZ",33.6537606,-111.9283976,"ProteinHouse Phoenix","R116"
"117",117,"NiFAkq5YxEHr4d6U0yrUYg","Phoenix","AZ",33.3779432048,-112.17272763,"Mandy's Fish And Chips","R117"
"118",118,"NihPkBRdA1AixuE_98tIrg","Phoenix","AZ",33.4943244,-112.0654164,"Port of Subs","R118"
"119",119,"NSKiLZls0KbA_MxY-wIc-Q","Phoenix","AZ",33.4470733,-112.0709775,"Paradise Bakery","R119"
"120",120,"NUjvyCh_0L5BJsdYf_JtfQ","Phoenix","AZ",33.6417123225,-112.047774837,"The 5-Spot","R120"
"121",121,"nVGPxMooxSiaSH_wHvcRbw","Phoenix","AZ",33.582569,-111.979243,"Taco Bell","R121"
"122",122,"OE6y1kddCOo9iQc7RTjTow","Phoenix","AZ",33.5095406,-111.9852469,"Garcia's Mexican Restaurants","R122"
"123",123,"ONeWWLO5lUiyTr3roQxN_Q","Phoenix","AZ",33.4561612,-112.0739321,"Miami Cafe","R123"
"124",124,"oq3_SSdu6ivLRjlZ4utOVg","Phoenix","AZ",33.4518776,-112.1222752,"La Carreta De Lily","R124"
"125",125,"OQggqcQglU-lHY3rY-8Lhw","Phoenix","AZ",33.457334,-112.064827,"Mother Bunch Brewing","R125"
"126",126,"OugQjN04sQNahWzYEdTExQ","Phoenix","AZ",33.5102286,-112.0741357,"Cheese 'n Stuff","R126"
"127",127,"OVjBHE9Ic1vNuFJ6oXRq0Q","Phoenix","AZ",33.495018,-111.975898,"Black Forest Mill","R127"
"128",128,"OX0T9dWI8b7meu-ljTo22A","Phoenix","AZ",33.4807981,-112.0208269,"Long Wong's","R128"
"129",129,"oXBe3xObDQ0HLr8Ie2F6WQ","Phoenix","AZ",33.4963072,-112.133564,"Sun Valley Bakery","R129"
"130",130,"P4atiaghQt2lnMUtO-SLwQ","Phoenix","AZ",33.4801117,-112.0125474,"Subway","R130"
"131",131,"P8lGz3aiwedtGQWrifuBTA","Phoenix","AZ",33.4596905,-112.0462108,"Fiesta Grill","R131"
"132",132,"p9uc6E8UR9Y3Bftj8g5AZA","Phoenix","AZ",33.6550622,-112.1335065,"McDonald's","R132"
"133",133,"PmQqj0wAnraXPuPSZCzEZQ","Phoenix","AZ",33.4349373544,-112.01361943,"Barrio Avion","R133"
"134",134,"pWqtTbQsXMBevsKbyNgPcQ","Phoenix","AZ",33.7150071,-112.1129733,"Dickey's Barbecue Pit","R134"
"135",135,"pxqP6-_odivOQCVFnuAEyQ","Phoenix","AZ",33.5516353,-112.1169966,"Kabob Palace","R135"
"136",136,"Q0HAhn2Pi2afILbtiPvlIQ","Phoenix","AZ",33.333429,-111.9822468,"Ahwatukee Country Club","R136"
"137",137,"Q6F59ID2Js8Sop2vRcVz-w","Phoenix","AZ",33.3194479165,-111.983342171,"Sweet Tomatoes","R137"
"138",138,"qpq8KuMyPSwraUFfRVOMQg","Phoenix","AZ",33.4485562,-112.05742,"Bobby C's Bar & Lounge","R138"
"139",139,"Qu9erGSYgH4ljIbJLzvzuA","Phoenix","AZ",33.4467764,-112.0894828,"Old Station Sub Shop","R139"
"140",140,"qVQGfHphxolps16v6g5X-g","Phoenix","AZ",33.6308568,-112.0309244,"Belfiore's Italian Ristorante","R140"
"141",141,"rN-YjZLZifa6lIfcaWrulA","Phoenix","AZ",33.4483165863,-112.073792294,"The Counter","R141"
"142",142,"RZjCS8U_UuZaAmo5YawkOg","Phoenix","AZ",33.553936,-112.1697623,"Hal O Penos Mexican Cafe","R142"
"143",143,"sghUmnrVFGxvldZQT-mtyg","Phoenix","AZ",33.4726532762,-112.221504226,"Cicis","R143"
"144",144,"SMkMBsGy6oAkv4r1boTCKQ","Phoenix","AZ",33.638127,-112.062578,"Rotana","R144"
"145",145,"tc0BL1PsdlIL-KHhfIqzbQ","Phoenix","AZ",33.6401404,-112.1288005,"Subway","R145"
"146",146,"tnZ_qZtKcrCWXA8XUMRF-Q","Phoenix","AZ",33.4658346,-111.9904267,"Buffalo Browns Wings and Things","R146"
"147",147,"TolwZ3L28or4E8SVTZUf6Q","Phoenix","AZ",33.5378713137,-112.055160999,"Spinato's Pizza","R147"
"148",148,"UmJU-v1Hoh8myeQmCwFI2A","Phoenix","AZ",33.4881545,-112.0304886,"Losbetos Mexican Food","R148"
"149",149,"urgviU4CGLGVLKTahwuzVg","Phoenix","AZ",33.5013170365,-111.984444646,"Papa John's Pizza","R149"
"150",150,"uWTTj8q4FVRkXgGHOnfVSg","Phoenix","AZ",33.7116116408,-112.111329517,"Shane's Rib Shack","R150"
"151",151,"UwZUPI7VAQAZZ0Gv0LV8nw","Phoenix","AZ",33.6674573,-111.9786707,"Café Allegro","R151"
"152",152,"uZ0C261kg1YgvTMTEmIL0Q","Phoenix","AZ",33.458841,-112.0827686,"El Norteño","R152"
"153",153,"v-EcHg9QafgFVsDQDe4EKw","Phoenix","AZ",33.4874299,-112.0297828,"Lowdown Cafe","R153"
"154",154,"v04EmZIqReWVD_Ri3rofUA","Phoenix","AZ",33.605972,-112.066355,"El Conquistador","R154"
"155",155,"v7GshnmUytEe3tm-HOgpsw","Phoenix","AZ",33.509208,-112.1175381,"Jack in the Box","R155"
"156",156,"vCD4a4nLeafjsNImVrCKXg","Phoenix","AZ",33.678615,-111.9746066,"San Felipes Cantina","R156"
"157",157,"vh3ymzbLEkqPHw0-IouMEw","Phoenix","AZ",33.4509955,-112.0013904,"Pete's Fish & Chips","R157"
"158",158,"vhKUBKcOm8zOLxeS3XM9iA","Phoenix","AZ",33.6418473,-111.9955708,"Rosati's Pizza","R158"
"159",159,"VINE7iA13oerzpSvnh40Pg","Phoenix","AZ",33.382596,-112.117267,"The Grove Cafe","R159"
"160",160,"vjaHGc25CcyNPZTbjDa7Ww","Phoenix","AZ",33.4550356,-112.0792846,"The Vig Fillmore","R160"
"161",161,"vre_Ga2KJCypcP6XMn8Y7g","Phoenix","AZ",33.4803594619,-111.969993275,"Di Vito's Pizza","R161"
"162",162,"VSy3WK0pRM_r4qgEtkj8Og","Phoenix","AZ",33.4492979,-112.0655423,"Teeter House Tea Room","R162"
"163",163,"vY8-P5aeFO4xRoH_mUfQ9A","Phoenix","AZ",33.597833,-111.9784028,"Barrio Cantina & Grill","R163"
"164",164,"W6GuGdmaArR98U0y6fvNVQ","Phoenix","AZ",33.4954475,-112.0050862,"Ricky's Big Philly","R164"
"165",165,"w6JuMJTyLB7vwDqBvtMiTQ","Phoenix","AZ",33.4483771,-112.0740373,"The Rocket Truck","R165"
"166",166,"wemlXDzXyS28HMJaVaxVhg","Phoenix","AZ",33.507622,-112.2382851,"Papa John's Pizza","R166"
"167",167,"wOfoU-QWGudP8kmBDNwQnA","Phoenix","AZ",33.6408492,-112.0660716,"McDonald's","R167"
"168",168,"wrcfLni9nmJK46Wb4XMkaQ","Phoenix","AZ",33.6006452,-111.9801874,"Arby's","R168"
"169",169,"wwjkBRfPIzyP9pvi94cH8A","Phoenix","AZ",33.638405,-111.979837,"Pizza Italia","R169"
"170",170,"XfUoM-27iPHkbewPXepmFQ","Phoenix","AZ",33.6406988,-112.0676418,"El Pollo Loco","R170"
"171",171,"xJ8KByAD9p-laEmW1to_vQ","Phoenix","AZ",33.6765423,-111.966362,"Toby Keiths I Love This Bar & Grill","R171"
"172",172,"XLeEhsUbkiUMv8yxvageyw","Phoenix","AZ",33.6405258,-112.0978123,"Jack-In-the Box","R172"
"173",173,"XVj_qD6hz4OJprt1bOAjWA","Phoenix","AZ",33.511332,-112.06434,"Burger Betty's","R173"
"174",174,"xywadi1Prn2yEolyVoss6w","Phoenix","AZ",33.4953804557,-112.030713104,"Subway","R174"
"175",175,"y6Daer5X-Uv11AZL0SuyHg","Phoenix","AZ",33.5980597,-112.0127981,"Jack in the Box","R175"
"176",176,"yJR6hSqkeArLl50mLS7kDg","Phoenix","AZ",33.6988429,-112.101312,"Meatballz","R176"
"177",177,"YM-nYIHd99qUt9n62AxIAg","Phoenix","AZ",33.5525925,-112.0571654,"Carlos O'Brien's - Phoenix","R177"
"178",178,"YmY9lwUzXtT9b56AWe03zQ","Phoenix","AZ",33.392663,-112.070677,"New King Wah Chinese Buffet","R178"
"179",179,"YPavuOh2XsnRbLfl0DH2lQ","Phoenix","AZ",33.4353717916,-112.073970304,"Lo-Lo's Chicken & Waffles","R179"
"180",180,"yTKJW4g7o41wIi961WgYPA","Phoenix","AZ",33.466241,-112.2047771,"Church's Chicken","R180"
"181",181,"Z4BcYjHzz9qXCmhxT6k6nA","Phoenix","AZ",33.5084591,-112.0307315,"Oscar Taylor's","R181"
"182",182,"ze6VwIX5s3ut4n90xCKY2Q","Phoenix","AZ",33.5716933,-112.083509,"El Gran Taco","R182"
"183",183,"zibTVHwQMACJCP5pjRUupQ","Phoenix","AZ",33.3485028,-111.9837827,"Chuy's Mesquite Broiler","R183"
"184",184,"zOL260xaXDYZZPBItzALxQ","Phoenix","AZ",33.4732278,-112.0647459,"MacAlpine's Diner & Soda Fountain","R184"
"185",185,"zOmz8CM5SVFGklGRSsV5mQ","Phoenix","AZ",33.6252521,-112.1307294,"Divinos","R185"
"186",186,"zrKalMnWJY-lkl2KeQTelQ","Phoenix","AZ",33.4820652,-112.0132733,"Little Caesars Pizza","R186"
"187",187,"zSicVxnJHV8indit0oFuNw","Phoenix","AZ",33.394654,-112.0738511,"South Mountain Cafe","R187"
"188",188,"Zv77o3aDuNDY0t3fCU2ebQ","Phoenix","AZ",33.5102274,-112.0806121,"Raimondo's","R188"
"189",189,"zvsJSNdg9UXEIL6FKiGa3Q","Phoenix","AZ",33.49597,-112.15195,"Taco Bell","R189"
"190",190,"ZxO1vuGoiCzir1r9Ma3BfQ","Phoenix","AZ",33.683216,-112.083836,"Jesters Mexican Grill","R190"
